iid	bam	sex
I12257	./benchmarking/I12257.bam	m
I12293	./benchmarking/I12293.bam	m
I12980	./benchmarking/I12980.bam	m
I1945	./benchmarking/I1945.bam	m
I1949	./benchmarking/I1949.bam	m
I3389	./benchmarking/I3389.bam	m
I6117	./benchmarking/I6117.bam	m
I11562	./benchmarking/I11562.bam	m
I4319	./benchmarking/I4319.bam	m
I5762	./benchmarking/I5762.bam	m
I6120	./benchmarking/I6120.bam	m
I7101	./benchmarking/I7101.bam	m
I11042	./benchmarking/I11042.bam	m
I12140	./benchmarking/I12140.bam	m
I2328	./benchmarking/I2328.bam	m
I4158	./benchmarking/I4158.bam	m
I6119	./benchmarking/I6119.bam	m
I6312	./benchmarking/I6312.bam	m
I7170	./benchmarking/I7170.bam	m
I8527	./benchmarking/I8527.bam	m
I11458	./benchmarking/I11458.bam	m
