iid	bam	sex
PTN271	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN271/trimmed_bam/PTN271_ss.B0101_udghalf.trimmed.bam	f
PTN225	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN225/merged_bams/initial/PTN225_ss_udghalf_libmerged_rmdup.bam	f
PTN209	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN209/merged_bams/initial/PTN209_ss_udghalf_libmerged_rmdup.bam	m
PTN287	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN287/merged_bams/initial/PTN287_ss_udghalf_libmerged_rmdup.bam	f
KKH019	/mnt/archgen/Autorun_eager/eager_outputs/SG/KKH/KKH019/trimmed_bam/KKH019_ss.A0101_udghalf.trimmed.bam	m
KKH031	/mnt/archgen/Autorun_eager/eager_outputs/SG/KKH/KKH031/trimmed_bam/KKH031_ss.A0101_udghalf.trimmed.bam	f
PTN227	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN227/merged_bams/initial/PTN227_ss_udghalf_libmerged_rmdup.bam	m
PTN360	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN360/trimmed_bam/PTN360_ss.B0101_udghalf.trimmed.bam	f
PTN323	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN323/merged_bams/initial/PTN323_ss_udghalf_libmerged_rmdup.bam	m
PTN476	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN476/trimmed_bam/PTN476_ss.A0101_udghalf.trimmed.bam	f
PTN272	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN272/merged_bams/initial/PTN272_ss_udghalf_libmerged_rmdup.bam	f
PTN051	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN051/merged_bams/additional/PTN051_ss_libmerged_add.bam	f
PTN358	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN358/trimmed_bam/PTN358_ss.A0101_udghalf.trimmed.bam	m
PTN452	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN452/trimmed_bam/PTN452_ss.A0101_udghalf.trimmed.bam	m
PTN139	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN139/merged_bams/initial/PTN139_ss_udghalf_libmerged_rmdup.bam	m
PTN189	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN189/merged_bams/initial/PTN189_ss_udghalf_libmerged_rmdup.bam	m
PTN148	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN148/merged_bams/initial/PTN148_ss_udghalf_libmerged_rmdup.bam	f
PTN294	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN294/trimmed_bam/PTN294_ss.A0101_udghalf.trimmed.bam	f
