	iid	bam	sex
0	BMG001	/mnt/archgen/Autorun_eager/eager_outputs/SG/BMG/BMG001/merged_bams/additional/BMG001_ss_libmerged_add.bam	m
1	PTN209	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN209/merged_bams/initial/PTN209_ss_udghalf_libmerged_rmdup.bam	m
2	PTN557	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN557/trimmed_bam/PTN557_ss.A0101_udghalf.trimmed.bam	m
3	KKH019	/mnt/archgen/Autorun_eager/eager_outputs/SG/KKH/KKH019/trimmed_bam/KKH019_ss.A0101_udghalf.trimmed.bam	m
4	PTN227	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN227/merged_bams/initial/PTN227_ss_udghalf_libmerged_rmdup.bam	m
5	PTN323	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN323/merged_bams/initial/PTN323_ss_udghalf_libmerged_rmdup.bam	m
6	PTN358	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN358/trimmed_bam/PTN358_ss.A0101_udghalf.trimmed.bam	m
7	PTN452	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN452/trimmed_bam/PTN452_ss.A0101_udghalf.trimmed.bam	m
8	PTN139	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN139/merged_bams/initial/PTN139_ss_udghalf_libmerged_rmdup.bam	m
9	PTN189	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN189/merged_bams/initial/PTN189_ss_udghalf_libmerged_rmdup.bam	m
10	PTN515	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN515/trimmed_bam/PTN515_ss.A0101_udghalf.trimmed.bam	m
11	PTN495	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN495/trimmed_bam/PTN495_ss.A0101_udghalf.trimmed.bam	m
12	PTN126	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN126/trimmed_bam/PTN126_ss.A0101_udghalf.trimmed.bam	m
13	PTN102	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN102/merged_bams/initial/PTN102_ss_udghalf_libmerged_rmdup.bam	m
14	PTN318	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN318/trimmed_bam/PTN318_ss.B0101_udghalf.trimmed.bam	m
15	PTN559	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN559/trimmed_bam/PTN559_ss.A0101_udghalf.trimmed.bam	m
16	PTN330	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN330/merged_bams/initial/PTN330_ss_udghalf_libmerged_rmdup.bam	m
17	PTN362	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN362/trimmed_bam/PTN362_ss.A0101_udghalf.trimmed.bam	m
18	PTN522	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN522/trimmed_bam/PTN522_ss.A0101_udghalf.trimmed.bam	m
19	KKH002	/mnt/archgen/Autorun_eager/eager_outputs/SG/KKH/KKH002/trimmed_bam/KKH002_ss.A0101_udghalf.trimmed.bam	m
20	PTN329	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN329/trimmed_bam/PTN329_ss.B0101_udghalf.trimmed.bam	m
21	PTN496	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN496/trimmed_bam/PTN496_ss.A0101_udghalf.trimmed.bam	m
22	PTN563	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN563/trimmed_bam/PTN563_ss.A0101_udghalf.trimmed.bam	m
23	KKH005	/mnt/archgen/Autorun_eager/eager_outputs/SG/KKH/KKH005/trimmed_bam/KKH005_ss.A0101_udghalf.trimmed.bam	m
24	PTN014	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN014/merged_bams/additional/PTN014_ss_libmerged_add.bam	m
25	PTN524	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN524/trimmed_bam/PTN524_ss.A0101_udghalf.trimmed.bam	m
26	PTN039	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN039/merged_bams/additional/PTN039_ss_libmerged_add.bam	m
27	PTN568	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN568/trimmed_bam/PTN568_ss.A0101_udghalf.trimmed.bam	m
28	PTN187	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN187/merged_bams/initial/PTN187_ss_udghalf_libmerged_rmdup.bam	m
29	PTN542	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN542/trimmed_bam/PTN542_ss.A0101_udghalf.trimmed.bam	m
30	PTN193	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN193/merged_bams/initial/PTN193_ss_udghalf_libmerged_rmdup.bam	m
31	PTN485	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN485/trimmed_bam/PTN485_ss.A0101_udghalf.trimmed.bam	m
32	PTN222	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN222/merged_bams/initial/PTN222_ss_udghalf_libmerged_rmdup.bam	m
33	PTN256	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN256/trimmed_bam/PTN256_ss.A0101_udghalf.trimmed.bam	m
34	PTN226	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN226/merged_bams/initial/PTN226_ss_udghalf_libmerged_rmdup.bam	m
35	PTN146	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN146/trimmed_bam/PTN146_ss.A0101_udghalf.trimmed.bam	m
36	WSQ003	/mnt/archgen/Autorun_eager/eager_outputs/SG/WSQ/WSQ003/merged_bams/initial/WSQ003_ss_udghalf_libmerged_rmdup.bam	m
37	PTN549	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN549/trimmed_bam/PTN549_ss.A0101_udghalf.trimmed.bam	m
38	WIN038	/mnt/archgen/Autorun_eager/eager_outputs/SG/WIN/WIN038/trimmed_bam/WIN038_ss.A0101_udghalf.trimmed.bam	m
39	PTN533	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN533/trimmed_bam/PTN533_ss.A0101_udghalf.trimmed.bam	m
40	PTN510	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN510/trimmed_bam/PTN510_ss.A0101_udghalf.trimmed.bam	m
41	WIN031	/mnt/archgen/Autorun_eager/eager_outputs/SG/WIN/WIN031/trimmed_bam/WIN031_ss.A0101_udghalf.trimmed.bam	m
42	PTN231	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN231/merged_bams/initial/PTN231_ss_udghalf_libmerged_rmdup.bam	m
43	WIT004	/mnt/archgen/Autorun_eager/eager_outputs/SG/WIT/WIT004/trimmed_bam/WIT004_ss.A0101_udgnone.trimmed.bam	m
44	PTN261	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN261/merged_bams/initial/PTN261_ss_udghalf_libmerged_rmdup.bam	m
45	WIT005	/mnt/archgen/Autorun_eager/eager_outputs/SG/WIT/WIT005/trimmed_bam/WIT005_ss.A0101_udgnone.trimmed.bam	m
46	PTN513	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN513/trimmed_bam/PTN513_ss.A0101_udghalf.trimmed.bam	m
47	PTN168	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN168/merged_bams/initial/PTN168_ss_udghalf_libmerged_rmdup.bam	m
